     0.140,   580.219,   661.450,   508.964
     0.141,   584.221,   666.597,   512.026
     0.142,   588.222,   671.749,   515.080
     0.143,   592.220,   676.907,   518.128
     0.144,   596.216,   682.071,   521.168
     0.145,   600.210,   687.241,   524.201
     0.146,   604.202,   692.416,   527.227
     0.147,   608.192,   697.596,   530.246
     0.148,   612.180,   702.783,   533.258
     0.149,   616.166,   707.975,   536.263
     0.150,   620.150,   713.172,   539.261
     0.151,   624.132,   718.376,   542.252
     0.152,   628.112,   723.585,   545.236
     0.153,   632.089,   728.799,   548.213
     0.154,   636.065,   734.019,   551.183
     0.155,   640.039,   739.245,   554.146
     0.156,   644.010,   744.476,   557.102
     0.157,   647.980,   749.713,   560.052
     0.158,   651.947,   754.955,   562.994
     0.159,   655.913,   760.203,   565.930
     0.160,   659.876,   765.456,   568.859
     0.161,   663.837,   770.715,   571.781
     0.162,   667.797,   775.980,   574.696
     0.163,   671.754,   781.250,   577.604
     0.164,   675.709,   786.525,   580.506
     0.165,   679.662,   791.806,   583.401
     0.166,   683.613,   797.093,   586.289
     0.167,   687.562,   802.385,   589.171
     0.168,   691.509,   807.682,   592.045
     0.169,   695.454,   812.986,   594.913
     0.170,   699.397,   818.294,   597.775
     0.171,   703.337,   823.608,   600.630
     0.172,   707.276,   828.928,   603.478
     0.173,   711.213,   834.252,   606.319
     0.174,   715.147,   839.583,   609.154
     0.175,   719.080,   844.919,   611.983
     0.176,   723.010,   850.260,   614.805
     0.177,   726.939,   855.607,   617.620
     0.178,   730.865,   860.959,   620.429
     0.179,   734.789,   866.317,   623.231
     0.180,   738.712,   871.680,   626.027
     0.181,   742.632,   877.048,   628.816
     0.182,   746.550,   882.422,   631.599
     0.183,   750.466,   887.801,   634.375
     0.184,   754.380,   893.186,   637.145
     0.185,   758.292,   898.576,   639.909
     0.186,   762.202,   903.971,   642.666
     0.187,   766.109,   909.372,   645.417
     0.188,   770.015,   914.778,   648.161
     0.189,   773.919,   920.190,   650.899
     0.190,   777.821,   925.607,   653.631
     0.191,   781.720,   931.029,   656.356
     0.192,   785.618,   936.456,   659.075
     0.193,   789.513,   941.889,   661.788
     0.194,   793.406,   947.327,   664.494
     0.195,   797.298,   952.771,   667.195
     0.196,   801.187,   958.219,   669.889
     0.197,   805.074,   963.674,   672.576
     0.198,   808.959,   969.133,   675.258
     0.199,   812.842,   974.598,   677.934
     0.200,   816.723,   980.068,   680.603
     0.201,   820.602,   985.543,   683.266
     0.202,   824.479,   991.024,   685.923
     0.203,   828.354,   996.510,   688.573
     0.204,   832.227,  1002.001,   691.218
     0.205,   836.097,  1007.497,   693.857
     0.206,   839.966,  1012.999,   696.489
     0.207,   843.832,  1018.506,   699.116
     0.208,   847.697,  1024.018,   701.736
     0.209,   851.559,  1029.535,   704.350
     0.210,   855.420,  1035.058,   706.958
     0.211,   859.278,  1040.586,   709.561
     0.212,   863.134,  1046.119,   712.157
     0.213,   866.988,  1051.657,   714.747
     0.214,   870.841,  1057.200,   717.332
     0.215,   874.691,  1062.749,   719.910
     0.216,   878.539,  1068.303,   722.482
     0.217,   882.384,  1073.862,   725.049
     0.218,   886.228,  1079.426,   727.609
     0.219,   890.070,  1084.995,   730.164
     0.220,   893.910,  1090.570,   732.713
     0.221,   897.747,  1096.149,   735.256
     0.222,   901.583,  1101.734,   737.793
     0.223,   905.416,  1107.324,   740.324
     0.224,   909.248,  1112.919,   742.850
     0.225,   913.077,  1118.520,   745.369
     0.226,   916.905,  1124.125,   747.883
     0.227,   920.730,  1129.735,   750.391
     0.228,   924.553,  1135.351,   752.893
     0.229,   928.374,  1140.972,   755.390
     0.230,   932.193,  1146.598,   757.880
     0.231,   936.010,  1152.228,   760.366
     0.232,   939.825,  1157.864,   762.845
     0.233,   943.638,  1163.505,   765.319
     0.234,   947.449,  1169.152,   767.787
     0.235,   951.257,  1174.803,   770.249
     0.236,   955.064,  1180.459,   772.706
     0.237,   958.869,  1186.120,   775.157
     0.238,   962.671,  1191.787,   777.602
     0.239,   966.472,  1197.458,   780.042
     0.240,   970.270,  1203.135,   782.476
